user_id,age,gender,country,sleep_hours,sleep_quality,water_intake_L,hydration_score,steps,calorie_intake,activity_type,bmi,stress_level,emotion,mood_score,recommendation
U0059,34,Female,Japan,8.1,5.5,2.79,9.3,6431,3479,Cycling,21.2,5,Stressed,4.6,Meditation & relaxation recommended
U0060,53,Male,India,5.6,5.9,2.19,7.3,12030,2535,Running,18.2,3,Neutral,6.8,Increase sleep duration
U0061,57,Male,Brazil,8.3,4.5,2.52,8.4,13380,3323,Cycling,21.5,5,Stressed,5.5,Meditation & relaxation recommended
U0062,21,Female,Japan,9.0,3.8,3.52,10.0,7243,1627,Sedentary,27.3,5,Stressed,4.8,Meditation & relaxation recommended
U0063,19,Male,Germany,7.6,10.0,2.65,8.8,8542,3131,Walking,24.2,1,Calm,10.0,Maintain current routine
U0064,23,Male,Brazil,9.8,7.6,2.54,8.5,8936,1591,Yoga,22.2,3,Neutral,8.1,Maintain current routine
U0065,59,Male,Brazil,5.8,7.6,1.41,4.7,10906,3176,Walking,22.5,3,Neutral,5.8,Increase sleep duration
U0066,21,Male,UK,5.1,2.3,3.1,10.0,6146,2042,Gym,18.0,5,Stressed,5.5,Meditation & relaxation recommended
U0067,46,Female,India,4.3,5.4,3.02,10.0,14046,2345,Yoga,21.6,4,Stressed,7.5,Meditation & relaxation recommended
U0068,35,Male,India,9.2,9.6,4.23,10.0,14611,3055,Cycling,25.8,1,Calm,8.5,Maintain current routine
U0069,43,Female,Germany,8.0,4.4,2.25,7.5,2140,3181,Gym,29.7,5,Stressed,4.7,Meditation & relaxation recommended
U0070,61,Male,Germany,6.9,8.2,2.68,8.9,14757,2488,Yoga,28.2,2,Calm,7.5,Maintain current routine
U0071,51,Female,Brazil,7.4,7.7,2.7,9.0,6882,3351,Sedentary,18.3,2,Calm,7.5,Add light exercise daily
U0072,27,Male,USA,5.3,8.1,3.76,10.0,8012,1946,Sedentary,28.8,1,Calm,7.3,Increase sleep duration
U0073,53,Male,UK,10.0,3.5,2.42,8.1,2963,1889,Sedentary,27.4,4,Stressed,4.7,Meditation & relaxation recommended
U0074,31,Other,UK,7.2,3.4,2.72,9.1,9151,2171,Sedentary,27.4,5,Stressed,5.1,Meditation & relaxation recommended
U0075,48,Female,Brazil,7.2,9.1,2.99,10.0,10564,3384,Cycling,23.5,3,Neutral,8.5,Maintain current routine
U0076,32,Female,Japan,8.1,8.3,2.65,8.8,13827,1542,Walking,22.8,1,Calm,8.4,Maintain current routine
U0077,25,Male,USA,7.7,3.2,2.14,7.1,12733,1753,Yoga,21.6,4,Stressed,5.4,Meditation & relaxation recommended
U0078,31,Male,Brazil,7.3,7.1,2.66,8.9,5610,2653,Cycling,18.8,3,Neutral,8.7,Maintain current routine
U0079,40,Male,USA,5.8,8.5,3.36,10.0,11884,2583,Sedentary,20.7,2,Calm,6.9,Increase sleep duration
U0080,57,Female,USA,7.7,8.9,1.68,5.6,8894,2162,Walking,21.0,2,Calm,6.3,Drink more water
U0081,38,Male,USA,9.8,6.9,2.61,8.7,9311,1966,Gym,23.8,3,Neutral,6.2,Maintain current routine
U0082,33,Female,Brazil,9.0,9.6,1.94,6.5,2105,1786,Gym,27.0,1,Calm,8.3,Drink more water
U0083,62,Male,UK,9.4,9.4,3.46,10.0,7539,2510,Gym,23.7,2,Calm,6.3,Maintain current routine
U0084,35,Other,UK,6.2,3.3,1.28,4.3,11873,3040,Sedentary,18.7,5,Stressed,4.9,Meditation & relaxation recommended
U0085,64,Female,USA,5.5,5.5,2.05,6.8,14289,2990,Gym,29.5,3,Neutral,7.9,Increase sleep duration
U0086,41,Female,Japan,6.8,5.3,2.8,9.3,14208,3453,Running,29.3,3,Neutral,5.7,Maintain current routine
U0087,43,Male,India,7.1,7.3,3.75,10.0,12828,2277,Yoga,27.4,2,Calm,8.1,Maintain current routine
U0088,42,Male,Brazil,8.6,10.0,2.45,8.2,8787,1844,Yoga,29.9,1,Calm,9.4,Maintain current routine
U0089,62,Female,India,4.5,4.5,2.06,6.9,4137,2141,Sedentary,24.5,5,Stressed,4.9,Meditation & relaxation recommended
U0090,58,Male,Japan,9.3,9.3,4.0,10.0,13608,1881,Running,29.6,1,Calm,9.2,Maintain current routine
U0091,46,Male,Brazil,6.8,3.4,1.34,4.5,6445,3302,Cycling,18.9,4,Stressed,6.2,Meditation & relaxation recommended
U0092,32,Other,USA,6.4,4.5,1.0,3.3,5530,2189,Cycling,22.4,4,Stressed,5.2,Meditation & relaxation recommended
U0093,62,Female,UK,5.5,5.8,2.85,9.5,3286,2776,Gym,20.7,2,Calm,9.5,Increase sleep duration
U0094,18,Male,India,4.5,8.8,2.1,7.0,13371,3450,Walking,20.3,2,Calm,9.2,Increase sleep duration
U0095,42,Male,Germany,8.2,9.2,1.68,5.6,9052,2579,Cycling,19.7,2,Calm,9.2,Drink more water
U0096,24,Male,Germany,7.1,6.0,3.07,10.0,5654,2986,Walking,25.5,4,Stressed,7.0,Meditation & relaxation recommended
U0097,26,Female,Japan,5.1,7.8,2.7,9.0,9102,1956,Yoga,27.4,1,Calm,7.4,Increase sleep duration
U0098,41,Male,USA,5.1,10.0,2.05,6.8,4359,2482,Walking,24.9,1,Calm,9.9,Increase sleep duration
U0099,18,Male,India,6.5,7.3,1.48,4.9,10105,1582,Yoga,19.8,2,Calm,8.7,Drink more water
U0100,61,Male,USA,9.5,2.8,3.2,10.0,10636,3428,Running,27.7,5,Stressed,3.5,Meditation & relaxation recommended
U0101,25,Male,India,6.6,7.8,3.02,10.0,8441,2622,Running,25.6,1,Calm,8.8,Maintain current routine
U0102,41,Female,Japan,4.7,4.8,2.42,8.1,7047,1648,Sedentary,22.7,4,Stressed,6.3,Meditation & relaxation recommended
U0103,28,Male,Japan,6.6,6.4,3.98,10.0,10227,2852,Sedentary,26.1,3,Neutral,8.7,Add light exercise daily
U0104,34,Other,Germany,6.6,6.2,1.64,5.5,7203,2679,Gym,21.1,3,Neutral,7.7,Drink more water
U0105,25,Male,USA,4.0,5.0,1.28,4.3,11667,1689,Cycling,22.1,3,Neutral,6.1,Increase sleep duration
U0106,52,Male,Brazil,6.9,5.2,1.95,6.5,14149,3017,Gym,29.0,5,Stressed,6.7,Meditation & relaxation recommended
U0107,52,Male,Germany,6.7,7.4,2.46,8.2,3798,2382,Yoga,21.5,2,Calm,8.0,Maintain current routine
U0108,50,Male,USA,8.0,4.5,2.69,9.0,12037,1762,Gym,23.6,4,Stressed,5.7,Meditation & relaxation recommended
U0109,22,Other,Germany,9.8,5.1,2.31,7.7,11600,2603,Walking,28.7,5,Stressed,4.7,Meditation & relaxation recommended
U0110,59,Female,Brazil,8.7,4.0,2.78,9.3,7291,1899,Yoga,26.5,4,Stressed,4.4,Meditation & relaxation recommended
U0111,56,Female,UK,6.6,3.6,1.5,5.0,7495,2263,Sedentary,18.7,4,Stressed,5.9,Meditation & relaxation recommended
U0112,58,Female,UK,5.3,8.9,3.66,10.0,11900,2108,Running,19.8,2,Calm,8.5,Increase sleep duration
U0113,45,Male,UK,10.0,8.3,2.43,8.1,13130,2783,Sedentary,18.1,3,Neutral,6.6,Add light exercise daily
U0114,24,Female,UK,7.1,7.1,3.39,10.0,8284,3295,Cycling,25.6,2,Calm,8.4,Maintain current routine
U0115,26,Male,India,7.0,4.0,2.77,9.2,9285,3138,Yoga,23.4,5,Stressed,4.1,Meditation & relaxation recommended
U0116,25,Female,UK,7.0,2.9,2.87,9.6,3300,3075,Yoga,19.6,5,Stressed,4.9,Meditation & relaxation recommended
U0117,29,Male,Brazil,7.3,4.0,2.96,9.9,8869,2284,Walking,29.5,5,Stressed,5.3,Meditation & relaxation recommended
U0118,51,Male,Japan,6.8,7.1,2.86,9.5,11435,1600,Cycling,24.4,2,Calm,8.2,Maintain current routine
U0119,50,Male,Japan,6.1,5.1,3.01,10.0,14168,2882,Running,20.9,4,Stressed,4.4,Meditation & relaxation recommended
U0120,40,Male,India,6.2,5.6,3.56,10.0,5097,2903,Yoga,24.0,4,Stressed,5.6,Meditation & relaxation recommended
U0121,41,Male,UK,7.0,7.7,2.66,8.9,6616,2319,Yoga,26.2,1,Calm,10.0,Maintain current routine
U0122,54,Male,UK,6.2,3.6,3.07,10.0,2009,2744,Walking,18.9,5,Stressed,4.5,Meditation & relaxation recommended
U0123,52,Other,UK,5.9,3.4,2.43,8.1,12617,2319,Gym,21.3,4,Stressed,6.0,Meditation & relaxation recommended
U0124,61,Male,Germany,7.2,8.4,3.65,10.0,7752,1919,Running,27.7,1,Calm,8.9,Maintain current routine
U0125,57,Male,USA,6.6,5.1,1.96,6.5,11852,1623,Sedentary,23.5,4,Stressed,7.6,Meditation & relaxation recommended
U0126,39,Female,Germany,9.3,4.2,3.94,10.0,12823,1921,Cycling,24.6,5,Stressed,6.3,Meditation & relaxation recommended
U0127,44,Female,USA,4.0,6.6,2.47,8.2,8295,2754,Yoga,23.2,3,Neutral,7.8,Increase sleep duration
U0128,52,Male,UK,8.6,4.9,1.36,4.5,6815,3213,Yoga,18.5,5,Stressed,4.0,Meditation & relaxation recommended
U0129,18,Female,UK,8.9,6.1,2.6,8.7,3072,2586,Sedentary,20.0,2,Calm,8.4,Add light exercise daily
U0130,52,Female,Germany,4.0,3.7,1.96,6.5,5225,3008,Running,23.3,4,Stressed,6.6,Meditation & relaxation recommended
U0131,54,Male,Germany,6.5,5.7,3.17,10.0,3316,3151,Gym,20.5,4,Stressed,5.3,Meditation & relaxation recommended
U0132,64,Other,USA,6.4,5.6,1.98,6.6,7699,3226,Yoga,18.6,2,Calm,7.1,Drink more water
U0133,31,Female,Japan,4.9,7.8,2.14,7.1,14337,3097,Running,28.1,2,Calm,9.7,Increase sleep duration
U0134,20,Male,USA,5.8,5.2,1.0,3.3,8807,2267,Sedentary,29.8,3,Neutral,6.7,Increase sleep duration
U0135,18,Male,Germany,5.3,6.8,2.14,7.1,8674,1982,Walking,27.5,4,Stressed,7.6,Meditation & relaxation recommended
U0136,22,Other,Brazil,9.6,5.5,1.0,3.3,5683,2018,Gym,28.2,4,Stressed,7.0,Meditation & relaxation recommended
U0137,43,Female,Germany,8.4,6.2,1.23,4.1,9227,1654,Cycling,20.9,3,Neutral,7.4,Drink more water
U0138,31,Female,Brazil,8.9,10.0,3.11,10.0,5273,1591,Yoga,29.5,1,Calm,9.5,Maintain current routine
U0139,56,Female,India,8.1,5.3,3.13,10.0,9000,2481,Running,20.4,3,Neutral,5.6,Maintain current routine
U0140,44,Female,Germany,5.3,3.1,2.84,9.5,2145,3049,Walking,29.4,5,Stressed,5.2,Meditation & relaxation recommended
U0141,26,Other,India,6.2,3.9,1.73,5.8,7010,1954,Cycling,29.9,4,Stressed,7.4,Meditation & relaxation recommended
U0142,32,Other,Japan,7.7,6.7,2.46,8.2,5040,3264,Running,26.5,2,Calm,8.7,Maintain current routine
U0143,32,Female,USA,5.2,4.1,2.5,8.3,11654,2097,Running,29.8,5,Stressed,5.2,Meditation & relaxation recommended
U0144,43,Female,Brazil,8.1,5.7,1.57,5.2,14868,3168,Cycling,24.8,4,Stressed,7.7,Meditation & relaxation recommended
U0145,59,Female,USA,6.6,7.4,3.7,10.0,11776,2009,Walking,21.1,3,Neutral,6.8,Maintain current routine
U0146,30,Female,India,6.4,2.2,3.2,10.0,2482,2706,Sedentary,23.2,5,Stressed,4.4,Meditation & relaxation recommended
U0147,49,Female,Brazil,8.1,5.0,2.32,7.7,5179,1885,Walking,25.1,4,Stressed,6.2,Meditation & relaxation recommended
U0148,56,Male,USA,7.7,7.7,2.52,8.4,3249,3097,Gym,18.9,1,Calm,9.8,Maintain current routine
U0149,49,Female,Germany,6.5,8.6,2.67,8.9,14960,3254,Yoga,25.5,1,Calm,7.3,Maintain current routine
U0150,21,Female,UK,8.7,9.9,1.0,3.3,2630,1904,Cycling,29.8,2,Calm,8.3,Drink more water
U0151,47,Female,India,5.4,5.5,2.3,7.7,10853,1745,Sedentary,20.3,4,Stressed,6.8,Meditation & relaxation recommended
U0152,54,Female,USA,7.9,9.7,1.95,6.5,13695,2241,Cycling,27.5,1,Calm,8.7,Drink more water
U0153,40,Female,India,7.9,8.4,1.7,5.7,4852,3114,Cycling,28.9,3,Neutral,8.1,Drink more water
U0154,56,Male,India,6.5,6.3,2.28,7.6,12658,2160,Walking,29.3,4,Stressed,6.6,Meditation & relaxation recommended
U0155,62,Male,Brazil,7.5,6.0,3.94,10.0,2987,2149,Yoga,29.5,3,Neutral,9.1,Maintain current routine
U0156,32,Male,Brazil,5.1,5.1,3.01,10.0,9622,2994,Gym,24.3,3,Neutral,6.2,Increase sleep duration
U0157,60,Male,UK,8.4,8.8,2.04,6.8,9327,3349,Running,29.7,1,Calm,9.8,Maintain current routine
U0158,46,Male,Germany,6.7,4.6,2.96,9.9,11738,3411,Running,27.1,4,Stressed,5.0,Meditation & relaxation recommended
U0159,53,Female,India,6.2,2.5,3.62,10.0,10841,2946,Cycling,19.9,5,Stressed,3.4,Meditation & relaxation recommended
U0160,30,Male,USA,8.6,9.0,3.24,10.0,11160,2400,Yoga,23.7,1,Calm,7.0,Maintain current routine
U0161,49,Female,Japan,5.9,9.1,2.55,8.5,12829,1564,Sedentary,26.6,1,Calm,9.5,Increase sleep duration
U0162,24,Male,India,4.9,7.0,1.98,6.6,3100,2536,Walking,21.0,4,Stressed,6.2,Meditation & relaxation recommended
U0163,39,Female,India,4.7,4.8,3.06,10.0,8652,1712,Yoga,25.7,4,Stressed,5.5,Meditation & relaxation recommended
U0164,45,Male,UK,7.9,6.7,2.81,9.4,10632,1741,Yoga,26.0,3,Neutral,5.2,Maintain current routine
U0165,19,Male,Germany,5.1,4.5,3.22,10.0,9421,1992,Walking,20.0,4,Stressed,5.3,Meditation & relaxation recommended
U0166,59,Female,Japan,9.6,7.3,3.01,10.0,7016,2736,Cycling,24.8,3,Neutral,7.0,Maintain current routine
U0167,62,Female,Brazil,4.0,8.7,3.34,10.0,2769,3216,Yoga,27.3,1,Calm,9.8,Increase sleep duration
U0168,23,Male,Brazil,9.5,6.4,2.07,6.9,3343,1837,Running,24.0,2,Calm,8.0,Maintain current routine
U0169,45,Other,USA,7.3,4.0,3.55,10.0,6358,1672,Walking,18.1,5,Stressed,5.3,Meditation & relaxation recommended
U0170,45,Male,Japan,6.9,9.2,2.66,8.9,13921,2171,Sedentary,18.1,1,Calm,8.6,Add light exercise daily
U0171,61,Male,Brazil,6.2,5.5,4.16,10.0,14098,1663,Gym,22.3,4,Stressed,7.7,Meditation & relaxation recommended
U0172,61,Other,USA,7.6,5.0,1.95,6.5,11769,1964,Cycling,29.1,5,Stressed,4.0,Meditation & relaxation recommended
U0173,37,Female,Germany,6.9,6.2,3.89,10.0,8780,2494,Walking,20.7,2,Calm,7.3,Maintain current routine
U0174,47,Male,USA,8.7,6.8,2.66,8.9,14200,1996,Gym,25.6,2,Calm,7.5,Maintain current routine
U0175,28,Female,Brazil,7.2,7.0,1.98,6.6,8602,2199,Gym,20.7,3,Neutral,7.5,Drink more water
U0176,45,Female,UK,7.2,3.3,2.11,7.0,13543,1894,Sedentary,21.9,5,Stressed,4.0,Meditation & relaxation recommended
U0177,42,Female,UK,6.5,6.6,2.24,7.5,14987,2202,Yoga,28.2,3,Neutral,7.1,Maintain current routine
U0178,56,Male,UK,6.9,6.4,2.84,9.5,4349,3440,Sedentary,26.7,1,Calm,9.2,Add light exercise daily
U0179,50,Male,Brazil,7.5,6.7,2.92,9.7,13794,1807,Yoga,19.1,5,Stressed,4.3,Meditation & relaxation recommended
U0180,18,Female,UK,4.4,8.5,2.04,6.8,7699,3291,Yoga,23.1,1,Calm,9.3,Increase sleep duration
U0181,44,Female,Japan,5.0,7.6,2.48,8.3,3241,1682,Walking,18.4,3,Neutral,6.0,Increase sleep duration
U0182,30,Female,Germany,8.1,3.7,4.21,10.0,3125,2128,Walking,23.8,5,Stressed,3.9,Meditation & relaxation recommended
U0183,58,Male,USA,7.3,6.8,3.88,10.0,12793,3317,Cycling,25.9,3,Neutral,7.1,Maintain current routine
U0184,20,Female,USA,6.7,5.5,2.85,9.5,11382,2009,Yoga,19.4,5,Stressed,3.3,Meditation & relaxation recommended
U0185,56,Female,Brazil,7.0,7.6,2.53,8.4,8764,3231,Gym,21.5,3,Neutral,4.9,Maintain current routine
U0186,23,Male,UK,7.5,7.4,2.6,8.7,7101,2045,Running,22.8,2,Calm,8.5,Maintain current routine
U0187,25,Male,UK,6.2,6.3,2.99,10.0,14323,3087,Cycling,29.0,3,Neutral,8.0,Maintain current routine
U0188,44,Female,India,5.8,8.6,1.68,5.6,14640,2123,Walking,29.9,2,Calm,7.5,Increase sleep duration
U0189,26,Female,Germany,7.3,8.7,2.29,7.6,9843,3287,Sedentary,18.5,3,Neutral,6.3,Add light exercise daily
U0190,54,Male,Japan,5.5,4.2,1.17,3.9,2072,2093,Cycling,27.1,5,Stressed,6.0,Meditation & relaxation recommended
U0191,50,Male,USA,7.6,6.0,2.82,9.4,7472,2243,Cycling,22.5,5,Stressed,3.9,Meditation & relaxation recommended
U0192,59,Male,India,4.4,3.8,3.02,10.0,12106,2750,Cycling,22.7,5,Stressed,3.6,Meditation & relaxation recommended
U0193,61,Male,India,8.5,6.2,2.11,7.0,7189,3268,Cycling,27.1,4,Stressed,6.7,Meditation & relaxation recommended
U0194,41,Other,Brazil,7.7,9.9,3.76,10.0,4472,3256,Running,29.0,1,Calm,9.0,Maintain current routine
U0195,32,Female,USA,7.4,3.6,1.52,5.1,13238,2959,Sedentary,29.4,5,Stressed,6.1,Meditation & relaxation recommended
U0196,49,Male,Brazil,8.5,6.9,1.33,4.4,2707,3448,Sedentary,24.9,2,Calm,5.9,Drink more water
U0197,49,Other,Japan,9.5,5.1,2.68,8.9,3804,2945,Sedentary,22.3,5,Stressed,3.6,Meditation & relaxation recommended
U0198,41,Female,India,8.5,4.7,3.34,10.0,8704,2053,Yoga,27.5,4,Stressed,6.0,Meditation & relaxation recommended
U0199,58,Female,India,4.2,6.7,3.85,10.0,5713,1520,Gym,21.0,2,Calm,8.4,Increase sleep duration
U0200,29,Female,Germany,5.1,4.5,2.13,7.1,7051,2053,Sedentary,24.8,4,Stressed,6.8,Meditation & relaxation recommended
U0201,56,Male,Japan,6.1,7.1,3.36,10.0,12756,1896,Cycling,22.3,2,Calm,8.2,Maintain current routine
U0202,19,Male,India,7.0,7.3,2.47,8.2,4475,2124,Cycling,25.9,3,Neutral,7.2,Maintain current routine
U0203,20,Female,Japan,7.8,9.3,2.36,7.9,5610,1604,Sedentary,20.9,1,Calm,8.6,Add light exercise daily
U0204,54,Female,USA,5.9,9.5,3.21,10.0,6255,1691,Sedentary,20.3,1,Calm,10.0,Increase sleep duration
U0205,34,Male,UK,7.3,5.6,3.02,10.0,13015,1516,Cycling,29.0,4,Stressed,4.9,Meditation & relaxation recommended
U0206,19,Other,India,5.9,8.2,1.24,4.1,9397,2643,Yoga,19.2,1,Calm,9.4,Increase sleep duration
U0207,19,Female,Germany,6.1,5.9,3.68,10.0,3735,1892,Walking,24.1,4,Stressed,5.0,Meditation & relaxation recommended
U0208,45,Male,USA,4.9,6.4,3.6,10.0,11777,1924,Walking,20.7,4,Stressed,6.5,Meditation & relaxation recommended
U0209,40,Other,Japan,5.6,5.8,2.0,6.7,10258,1628,Sedentary,18.5,4,Stressed,5.0,Meditation & relaxation recommended
U0210,54,Other,Brazil,5.0,9.2,2.82,9.4,13253,2653,Running,18.4,1,Calm,9.7,Increase sleep duration
U0211,49,Other,USA,5.5,4.4,2.9,9.7,9979,2071,Sedentary,20.1,4,Stressed,6.1,Meditation & relaxation recommended
U0212,50,Male,India,8.6,9.0,2.71,9.0,4428,3083,Sedentary,28.4,1,Calm,10.0,Add light exercise daily
U0213,18,Female,Japan,5.6,4.4,2.06,6.9,14345,1528,Walking,21.4,4,Stressed,5.7,Meditation & relaxation recommended
U0214,36,Female,UK,10.0,4.0,1.96,6.5,9426,2620,Cycling,29.4,5,Stressed,5.4,Meditation & relaxation recommended
U0215,19,Female,USA,7.7,3.6,2.48,8.3,10533,2533,Sedentary,25.0,4,Stressed,5.2,Meditation & relaxation recommended
U0216,61,Other,India,7.3,6.0,3.44,10.0,7249,1741,Cycling,23.2,2,Calm,7.7,Maintain current routine
